id,ans
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,1
8,0
9,0
10,0
11,0
12,1
13,1
14,0
15,1
16,1
17,1
18,0
19,1
20,0
21,0
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,1
38,1
39,0
40,0
41,0
42,1
43,0
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,1
52,0
53,0
54,1
55,1
56,0
57,0
58,1
59,1
60,0
61,0
62,1
63,1
64,0
65,0
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,1
74,1
75,1
76,1
77,0
78,1
79,1
80,0
81,1
82,1
83,1
84,0
85,1
86,1
87,0
88,0
89,0
90,1
91,0
92,1
93,0
94,0
95,1
96,0
97,0
98,1
99,1
100,0
101,0
102,0
103,1
104,0
105,0
106,1
107,1
108,1
109,1
110,0
111,0
112,0
113,0
114,1
115,0
116,1
117,1
118,0
119,1
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,0
128,0
129,1
130,0
131,0
132,0
133,0
134,0
135,1
136,0
137,0
138,1
139,1
140,0
141,0
142,1
143,1
144,0
145,1
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,0
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,0
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,1
173,0
174,1
175,1
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,0
189,0
190,1
191,1
192,0
193,1
194,0
195,0
196,1
197,1
198,0
199,0
200,1
201,0
202,1
203,1
204,1
205,1
206,0
207,0
208,0
209,1
210,0
211,1
212,0
213,0
214,0
215,0
216,0
217,0
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,0
235,1
236,0
237,0
238,0
239,1
240,0
241,0
242,1
243,0
244,0
245,0
246,0
247,1
248,1
249,0
250,1
251,1
252,0
253,0
254,1
255,0
256,1
257,0
258,0
259,0
260,0
261,1
262,0
263,0
264,1
265,0
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,0
274,0
275,0
276,1
277,0
278,0
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,0
290,1
291,0
292,1
293,1
294,1
295,1
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,1
304,0
305,0
306,1
307,0
308,0
309,1
310,1
311,0
312,0
313,0
314,1
315,1
316,0
317,0
318,0
319,1
320,0
321,0
322,0
323,0
324,1
325,1
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,0
334,0
335,1
336,0
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,1
345,0
346,1
347,0
348,1
349,0
350,1
351,0
352,1
353,1
354,0
355,0
356,0
357,1
358,1
359,0
360,0
361,0
362,0
363,1
364,0
365,1
366,0
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,0
375,0
376,1
377,0
378,0
379,0
380,0
381,1
382,0
383,0
384,0
385,0
386,1
387,0
388,0
389,0
390,1
391,0
392,1
393,0
394,0
395,1
396,0
397,0
398,1
399,0
400,1
401,1
402,1
403,1
404,1
405,0
406,1
407,1
408,1
409,1
410,0
411,1
412,0
413,0
414,0
415,0
416,1
417,0
418,1
419,1
420,1
421,1
422,1
423,0
424,0
425,0
426,1
427,0
428,0
429,1
430,0
431,0
432,1
433,0
434,0
435,1
436,0
437,1
438,0
439,0
440,0
441,0
442,1
443,1
444,0
445,0
446,1
447,1
448,0
449,1
450,1
451,0
452,1
453,0
454,0
455,1
456,0
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,1
470,0
471,0
472,1
473,1
474,1
475,0
476,0
477,0
478,1
479,0
480,0
481,1
482,0
483,1
484,0
485,0
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,0
496,1
497,0
498,0
499,1
500,0
501,0
502,0
503,0
504,1
505,1
506,1
507,1
508,0
509,1
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,1
518,0
519,1
520,0
521,1
522,0
523,0
524,1
525,0
526,1
527,1
528,0
529,1
530,1
531,0
532,0
533,0
534,0
535,1
536,0
537,1
538,1
539,0
540,1
541,0
542,1
543,0
544,0
545,0
546,1
547,0
548,0
549,0
550,0
551,1
552,0
553,1
554,0
555,1
556,1
557,1
558,0
559,0
560,0
561,0
562,0
563,1
564,0
565,1
566,0
567,1
568,0
569,1
570,0
571,0
572,1
573,0
574,0
575,1
576,1
577,1
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,1
591,1
592,0
593,1
594,1
595,0
596,0
597,1
598,1
599,0
600,1
601,1
602,0
603,0
604,0
605,0
606,1
607,1
608,0
609,1
610,1
611,0
612,0
613,0
614,1
615,1
616,1
617,0
618,0
619,1
620,0
621,0
622,1
623,1
624,1
625,0
626,0
627,1
628,1
629,1
630,0
631,0
632,0
633,0
634,0
635,0
636,1
637,0
638,0
639,0
640,0
641,1
642,1
643,1
644,1
645,1
646,1
647,1
648,1
649,0
650,1
651,1
652,0
653,1
654,0
655,1
656,1
657,1
658,1
659,1
660,0
661,1
662,0
663,1
664,0
665,0
666,0
667,1
668,0
669,0
670,0
671,0
672,1
673,0
674,0
675,0
676,1
677,0
678,0
679,0
680,1
681,0
682,0
683,1
684,0
685,1
686,0
687,0
688,1
689,0
690,1
691,1
692,1
693,1
694,1
695,0
696,1
697,0
698,1
699,1
700,1
701,0
702,0
703,0
704,0
705,0
706,1
707,1
708,0
709,1
710,1
711,0
712,1
713,0
714,0
715,0
716,1
717,0
718,1
719,0
720,0
721,0
722,0
723,0
724,0
725,1
726,1
727,0
728,0
729,1
730,1
731,1
732,1
733,0
734,0
735,1
736,1
737,1
738,1
739,1
740,0
741,0
742,0
743,1
744,1
745,1
746,1
747,1
748,0
749,0
750,0
751,0
752,0
753,1
754,1
755,1
756,0
757,1
758,1
759,0
760,1
761,0
762,0
763,0
764,1
765,1
766,1
767,0
768,0
769,1
770,1
771,1
772,0
773,0
774,0
775,0
776,0
777,1
778,0
779,0
780,1
781,1
782,1
783,1
784,1
785,0
786,1
787,0
788,1
789,0
790,0
791,1
792,0
793,0
794,1
795,0
796,1
797,0
798,0
799,1
800,0
801,0
802,0
803,0
804,1
805,1
806,1
807,0
808,1
809,0
810,0
811,0
812,1
813,1
814,0
815,0
816,0
817,0
818,0
819,0
820,1
821,1
822,0
823,1
824,1
825,0
826,0
827,1
828,0
829,0
830,1
831,0
832,1
833,0
834,0
835,0
836,1
837,0
838,0
839,1
840,0
841,1
842,0
843,0
844,0
845,0
846,1
847,0
848,0
849,1
850,0
851,1
852,0
853,0
854,0
855,1
856,1
857,1
858,1
859,0
860,0
861,1
862,1
863,1
864,1
865,1
866,1
867,0
868,0
869,0
870,0
871,1
872,0
873,1
874,1
875,1
876,1
877,1
878,0
879,0
880,1
881,1
882,1
883,0
884,0
885,1
886,0
887,1
888,0
889,0
890,0
891,1
892,0
893,1
894,1
895,1
896,1
897,0
898,1
899,1
900,1
901,1
902,0
903,1
904,1
905,0
906,1
907,0
908,0
909,0
910,0
911,1
912,0
913,1
914,1
915,0
916,0
917,0
918,1
919,1
920,1
921,0
922,0
923,1
924,0
925,1
926,1
927,0
928,1
929,1
930,1
931,1
932,1
933,0
934,1
935,1
936,0
937,1
938,0
939,1
940,1
941,0
942,1
943,1
944,1
945,1
946,0
947,0
948,0
949,0
950,1
951,0
952,0
953,1
954,0
955,0
956,1
957,1
958,1
959,1
960,0
961,1
962,1
963,0
964,1
965,0
966,1
967,1
968,0
969,0
970,1
971,1
972,1
973,1
974,1
975,0
976,1
977,0
978,0
979,0
980,1
981,1
982,1
983,1
984,0
985,1
986,0
987,0
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,1
996,1
997,1
998,0
999,1
1000,1
1001,1
1002,1
1003,0
1004,0
1005,0
1006,1
1007,0
1008,1
1009,1
1010,0
1011,1
1012,1
1013,1
1014,0
1015,1
1016,1
1017,1
1018,1
1019,0
1020,1
1021,1
1022,0
1023,0
1024,1
1025,1
1026,0
1027,1
1028,1
1029,0
1030,1
1031,0
1032,1
1033,1
1034,0
1035,1
1036,1
1037,1
1038,1
1039,0
1040,1
1041,0
1042,1
1043,0
1044,0
1045,0
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,1
1054,1
1055,0
1056,1
1057,1
1058,1
1059,1
1060,1
